Kierunek,Stopień,Specjalność ,Przedmiot,Pytanie,Odpowiedzi
Informatyka,1,-,Algorytmy i struktury danych,Wymień cechy algorytmu i sposoby jego reprezentacji,
Informatyka,1,-,Algorytmy i struktury danych,Omówić zagadnienie asymptotycznej złożoności obliczeniowej algorytmów. Podać standardowe notacje rzędu złożoności,
Informatyka,1,-,Algorytmy i struktury danych,Algorytmy sortowania oraz charakterystyka ich złożoności obliczeniowej,
Informatyka,1,-,Algorytmy i struktury danych,Przedstawić iteracyjne oraz rekurencyjne struktury algorytmiczne. Dokonać porównania,
Informatyka,1,-,Algorytmy i struktury danych,"Struktury drzewiaste, charakterystyka podstawowych typów drzew oraz przykłady ich zastosowań",
Informatyka,1,-,Podstawy sieci komputerowych,"Ruting w sieciach komputerowych, metody rutingu, porównanie",
Informatyka,1,-,Podstawy sieci komputerowych,Metody dostępu do sieci w technologii bezprzewodowej WiFi,
Informatyka,1,-,Podstawy sieci komputerowych,Podstawowe i złożone topologie sieci komputerowych,
Informatyka,1,-,Języki i paradygmaty programowania I ,Procesy kompilacji i interpretacji w różnych językach programowania. Omów ich przebieg porównaj wady i zalety wskaż przykłady implementacji w popularnych językach,
Informatyka,1,-,Języki i paradygmaty programowania II ,Mechanizm przeładowanie operatorów w językach obiektowych. Podaj przykład praktycznego zastosowania,
Informatyka,1,-,Technologie obiektowe,Mechanizm dziedziczenia. Dziedziczenie jedno i wielokrotne. Podaj przykład wykorzystania,
Informatyka,1,-,Technologie obiektowe,Klasy abstrakcyjne i funkcje wirtualne w językach obiektowych. Podaj przykład zastosowania,
Informatyka,1,-,Technologie obiektowe,Obsługa sytuacji wyjątkowych w językach obiektowych (np. C++ Java),
Informatyka,1,-,Algorytmy i struktury danych,"Omówić sposoby implementacji list jednokierunkowej oraz dwukierunkowej. Podać zestaw operacji wchodzących w skład interfejsu listy",
Informatyka,1,-,Algorytmy i struktury danych,"Omówić algorytmy efektywnego poszukiwania najkrótszej ścieżki w grafie",
Informatyka,1,-,Języki i paradygmaty programowania I,"Procesy kompilacji i interpretacji w różnych językach programowania. Omów ich przebieg, porównaj wady i zalety, wskaż przykłady implementacji w popularnych językach",
Informatyka,1,-,Języki i paradygmaty programowania I,"Mechanizm przeładowania operatorów w językach obiektowych. Podaj przykład praktycznego zastosowania",
Informatyka,1,-,Języki i paradygmaty programowania I,"Mechanizm dziedziczenia. Dziedziczenie jedno i wielokrotne. Podaj przykład wykorzystania",
Informatyka,1,-,Języki i paradygmaty programowania I,"Klasy abstrakcyjne i funkcje wirtualne w językach obiektowych. Podaj przykład zastosowania",
Informatyka,1,-,Języki i paradygmaty programowania I,"Obsługa sytuacji wyjątkowych w językach obiektowych (np. C++, Java)",
Informatyka,1,-,Systemy operacyjne,"Organizacja pamięci pomocniczej - metody przydziału miejsca na dysku",
Informatyka,1,-,Systemy operacyjne,"Omów i porównaj najczęściej stosowane systemy plików",
Informatyka,1,-,Systemy operacyjne,"Metody zarządzania wolną przestrzenią pamięci dyskowej",
Informatyka,1,-,Systemy operacyjne,"Algorytmy planowania przydziału procesora",
Informatyka,1,-,Systemy operacyjne,"Omów metody zarządzania pamięcią",
Informatyka,1,-,Podstawy elektroniki i techniki cyfrowej,"Układy elektroniczne jako filtry. Klasyfikacja i przykłady zastosowań",
